Gene Symbol	Ensembl_id
AAAS	ENSG00000094914
ABCB7	ENSG00000131269
ABCD1	ENSG00000101986
ABHD12	ENSG00000100997
ADAR	ENSG00000160710
ADCY5	ENSG00000173175
AFG3L2	ENSG00000141385
AIMP1	ENSG00000164022
ALDH18A1	ENSG00000059573
ALS2	ENSG00000003393
AMPD2	ENSG00000116337
ANG	ENSG00000214274
ANO10	ENSG00000160746
ANO3	ENSG00000134343
AP1S2	ENSG00000182287
AP4B1	ENSG00000134262
AP4E1	ENSG00000081014
AP4M1	ENSG00000221838
AP4S1	ENSG00000100478
APP	ENSG00000142192
APTX	ENSG00000137074
AR	ENSG00000169083
ARG1	ENSG00000118520
ARSA	ENSG00000100299
ATCAY	ENSG00000167654
ATL1	ENSG00000198513
ATM	ENSG00000149311
ATP13A2	ENSG00000159363
ATP1A2	ENSG00000018625
ATP1A3	ENSG00000105409
ATP7B	ENSG00000123191
B4GALNT1	ENSG00000135454
BSCL2	ENSG00000168000
C12orf65	ENSG00000130921
C19orf12	ENSG00000131943
CA8	ENSG00000178538
CACNA1A	ENSG00000141837
CACNA1G	ENSG00000006283
CACNB4	ENSG00000182389
CAMTA1	ENSG00000171735
CAPN1	ENSG00000014216
CASK	ENSG00000147044
CHMP1A	ENSG00000131165
CHMP2B	ENSG00000083937
CLCN2	ENSG00000114859
CLN6	ENSG00000128973
COASY	ENSG00000068120
COQ8A	ENSG00000163050
COX20	ENSG00000203667
CP	ENSG00000047457
CSF1R	ENSG00000182578
CSTB	ENSG00000160213
CWF19L1	ENSG00000095485
CYP27A1	ENSG00000135929
CYP2U1	ENSG00000155016
CYP7B1	ENSG00000172817
DARS2	ENSG00000117593
DCAF17	ENSG00000115827
DCTN1	ENSG00000204843
DDHD1	ENSG00000100523
DDHD2	ENSG00000085788
DNAJC19	ENSG00000205981
DNAJC5	ENSG00000101152
DNAJC6	ENSG00000116675
DNMT1	ENSG00000130816
EIF2B1	ENSG00000111361
EIF2B2	ENSG00000119718
EIF2B3	ENSG00000070785
EIF2B4	ENSG00000115211
EIF2B5	ENSG00000145191
ELOVL4	ENSG00000118402
EPM2A	ENSG00000112425
ERLIN2	ENSG00000147475
EXOSC3	ENSG00000107371
FA2H	ENSG00000103089
FARS2	ENSG00000145982
FBXO7	ENSG00000100225
FGF14	ENSG00000102466
FIG4	ENSG00000112367
FLVCR1	ENSG00000162769
FMR1	ENSG00000102081
FOLR1	ENSG00000110195
FTL	ENSG00000087086
FUS	ENSG00000089280
FXN	ENSG00000165060
GBA	ENSG00000177628
GBA2	ENSG00000070610
GFAP	ENSG00000131095
GJC2	ENSG00000198835
GLRA1	ENSG00000145888
GLRB	ENSG00000109738
GNAO1	ENSG00000087258
GOSR2	ENSG00000108433
GPAA1	ENSG00000197858
