gtex_tissues_name,gtex_tissues_name_formatted,gtex_tissues_name_formatted_2,gtex_tissue_group,gtex_tissues_name_to_plot,OMIM_gtex_name,gtex_tissue_name_simplified,n_smafrze_use_me,n_all,tissue_color_hex,tissue_type,gtex_tissues_name_formatted_3
,,,,,,,,,,,
Adipose - Subcutaneous,adipose_subcutaneous,adipose_subcutaneous,adipose,Adipose - subcutaneous,adipose_subcutaneous,adiposesubcutaneous,349,386,FF6600,Non-brain,Adipose-subcutaneous
,,,,,,,,,,,
Adipose - Visceral (Omentum),adipose_visceral_omentum,adipose_visceral_omentum,adipose,Adipose - visceral,adipose_visceral_omentum,adiposevisceralomentum,227,234,FFAA00,Non-brain,Adipose-visceral
,,,,,,,,,,,
Adrenal Gland,adrenal_gland,adrenal_gland,adrenal,Adrenal gland,adrenal_gland,adrenalgland,145,159,33DD33,Non-brain,Adrenal gland
,,,,,,,,,,,
Artery - Aorta,artery_aorta,artery_aorta,artery,Aorta,artery_aorta,arteryaorta,224,247,FF5555,Non-brain,Artery-aorta
,,,,,,,,,,,
Artery - Coronary,artery_coronary,artery_coronary,artery,Artery - coronary,artery_coronary,arterycoronary,133,140,FFAA99,Non-brain,Artery-coronary
,,,,,,,,,,,
Artery - Tibial,artery_tibial,artery_tibial,artery,Artery - tibial,artery_tibial,arterytibial,332,363,FF0000,Non-brain,Artery-tibial
,,,,,,,,,,,
Bladder,bladder,bladder,bladder,Bladder,bladder,bladder,11,11,NA,Non-brain,Bladder
,,,,,,,,,,,
Brain - Amygdala,brain_amygdala,amygdala,brain,Amygdala,amygdala,amygdala,72,81,EEEE00,Brain,Amygdala
,,,,,,,,,,,
Brain - Anterior cingulate cortex (BA24),brain_anterior_cingulate_cortex_ba24,anterior_cingulate_cortex_ba24,brain,Anterior cingulate cortex,anteriorcingulatecortexba24,anteriorcingulatecortexba24,84,99,EEEE00,Brain,Anterior cingulate cortex
,,,,,,,,,,,
Brain - Caudate (basal ganglia),brain_caudate_basal_ganglia,caudate_basal_ganglia,brain,Caudate,caudatebasalganglia,caudatebasalganglia,117,134,EEEE00,Brain,Caudate basal ganglia
,,,,,,,,,,,
Brain - Cerebellar Hemisphere,brain_cerebellar_hemisphere,cerebellar_hemisphere,brain,Cerebellar hemisphere,brain_cerebellar_hemisphere,cerebellarhemisphere,105,118,EEEE00,Brain,Cerebellar hemisphere
,,,,,,,,,,,
Brain - Cerebellum,brain_cerebellum,cerebellum,brain,Cerebellum,brain_cerebellum,cerebellum,125,145,EEEE00,Brain,Cerebellum
,,,,,,,,,,,
Brain - Cortex,brain_cortex,cortex,brain,Cortex,cortex,cortex,114,132,EEEE00,Brain,Cortex
,,,,,,,,,,,
Brain - Frontal Cortex (BA9),brain_frontal_cortex_ba9,frontal_cortex_ba9,brain,Frontal Cortex ,frontalcortexba9,frontalcortexba9,108,120,EEEE00,Brain,Frontal cortex
,,,,,,,,,,,
Brain - Hippocampus,brain_hippocampus,hippocampus,brain,Hippocampus,hippocampus,hippocampus,94,103,EEEE00,Brain,Hippocampus
,,,,,,,,,,,
Brain - Hypothalamus,brain_hypothalamus,hypothalamus,brain,Hypothalamus,hypothalamus,hypothalamus,96,104,EEEE00,Brain,Hypothalamus
,,,,,,,,,,,
