HGNC_ID	Approved.symbol	Ensembl.gene.ID
HGNC:14825	OR4F5	ENSG00000186092
HGNC:28706	SAMD11	ENSG00000187634
HGNC:24517	NOC2L	ENSG00000188976
HGNC:24023	KLHL17	ENSG00000187961
HGNC:25284	PLEKHN1	ENSG00000187583
HGNC:28208	PERM1	ENSG00000187642
HGNC:24149	HES4	ENSG00000188290
HGNC:4053	ISG15	ENSG00000187608
HGNC:329	AGRN	ENSG00000188157
HGNC:40020	RNF223	ENSG00000237330
HGNC:26062	C1orf159	ENSG00000131591
HGNC:26693	TTLL10	ENSG00000162571
HGNC:11914	TNFRSF18	ENSG00000186891
HGNC:11918	TNFRSF4	ENSG00000186827
HGNC:24188	SDF4	ENSG00000078808
HGNC:17978	B3GALT6	ENSG00000176022
HGNC:32308	C1QTNF12	ENSG00000184163
HGNC:19268	UBE2J2	ENSG00000160087
HGNC:10601	SCNN1D	ENSG00000162572
HGNC:16754	ACAP3	ENSG00000131584
HGNC:26914	PUSL1	ENSG00000169972
HGNC:26052	INTS11	ENSG00000127054
HGNC:28116	CPTP	ENSG00000224051
HGNC:15661	TAS1R3	ENSG00000169962
HGNC:3084	DVL1	ENSG00000107404
HGNC:7542	MXRA8	ENSG00000162576
HGNC:24114	AURKAIP1	ENSG00000175756
HGNC:20570	CCNL2	ENSG00000221978
HGNC:14478	MRPL20	ENSG00000242485
HGNC:42950	ANKRD65	ENSG00000235098
HGNC:37099	TMEM88B	ENSG00000205116
HGNC:30910	VWA1	ENSG00000179403
HGNC:32151	ATAD3C	ENSG00000215915
HGNC:24007	ATAD3B	ENSG00000160072
HGNC:25567	ATAD3A	ENSG00000197785
HGNC:25186	TMEM240	ENSG00000205090
HGNC:25016	SSU72	ENSG00000160075
HGNC:42951	FNDC10	ENSG00000228594
HGNC:30577	MIB2	ENSG00000197530
HGNC:7171	MMP23B	ENSG00000189409
HGNC:1729	CDK11B	ENSG00000248333
HGNC:33941	SLC35E2B	ENSG00000189339
HGNC:1730	CDK11A	ENSG00000008128
HGNC:20863	SLC35E2A	ENSG00000215790
HGNC:29831	NADK	ENSG00000008130
HGNC:4396	GNB1	ENSG00000078369
HGNC:24193	CALML6	ENSG00000169885
HGNC:27916	TMEM52	ENSG00000178821
HGNC:29368	CFAP74	ENSG00000142609
HGNC:4084	GABRD	ENSG00000187730
HGNC:9412	PRKCZ	ENSG00000067606
HGNC:26428	FAAP20	ENSG00000162585
HGNC:10896	SKI	ENSG00000157933
HGNC:25852	MORN1	ENSG00000116151
HGNC:30309	RER1	ENSG00000157916
HGNC:8851	PEX10	ENSG00000157911
HGNC:29037	PLCH2	ENSG00000149527
HGNC:19366	PANK4	ENSG00000157881
HGNC:19764	HES5	ENSG00000197921
HGNC:11912	TNFRSF14	ENSG00000157873
HGNC:28390	PRXL2B	ENSG00000157870
HGNC:14668	MMEL1	ENSG00000142606
HGNC:34297	TTC34	ENSG00000215912
HGNC:24026	ACTRT2	ENSG00000169717
HGNC:14000	PRDM16	ENSG00000142611
HGNC:15515	ARHGEF16	ENSG00000130762
HGNC:3232	MEGF6	ENSG00000162591
HGNC:27007	TPRG1L	ENSG00000158109
HGNC:12759	WRAP73	ENSG00000116213
HGNC:12003	TP73	ENSG00000078900
HGNC:26546	CCDC27	ENSG00000162592
HGNC:44204	SMIM1	ENSG00000235169
HGNC:29207	LRRC47	ENSG00000130764
HGNC:24866	CEP104	ENSG00000116198
HGNC:2773	DFFB	ENSG00000169598
HGNC:27915	C1orf174	ENSG00000198912
HGNC:30801	AJAP1	ENSG00000196581
HGNC:19104	NPHP4	ENSG00000131697
HGNC:6229	KCNAB2	ENSG00000069424
HGNC:16816	CHD5	ENSG00000116254
HGNC:10315	RPL22	ENSG00000116251
HGNC:32947	RNF207	ENSG00000158286
HGNC:5350	ICMT	ENSG00000116237
HGNC:26226	HES3	ENSG00000173673
HGNC:23618	GPR153	ENSG00000158292
HGNC:24157	ACOT7	ENSG00000097021
HGNC:16005	HES2	ENSG00000069812
HGNC:13281	ESPN	ENSG00000187017
HGNC:11910	TNFRSF25	ENSG00000215788
HGNC:29105	PLEKHG5	ENSG00000171680
HGNC:26265	NOL9	ENSG00000162408
HGNC:14448	TAS1R1	ENSG00000173662
HGNC:4930	ZBTB48	ENSG00000204859
HGNC:29041	KLHL21	ENSG00000162413
HGNC:22983	PHF13	ENSG00000116273
HGNC:20855	THAP3	ENSG00000041988
HGNC:25570	DNAJC11	ENSG00000007923
HGNC:18806	CAMTA1	ENSG00000171735
HGNC:12644	VAMP3	ENSG00000049245
HGNC:8847	PER3	ENSG00000049246
HGNC:12636	UTS2	ENSG00000049247
HGNC:11924	TNFRSF9	ENSG00000049249
HGNC:16369	PARK7	ENSG00000116288
HGNC:18185	ERRFI1	ENSG00000116285
HGNC:17939	SLC45A1	ENSG00000162426
HGNC:9965	RERE	ENSG00000142599
HGNC:3350	ENO1	ENSG00000074800
HGNC:1380	CA6	ENSG00000131686
HGNC:11010	SLC2A5	ENSG00000142583
HGNC:23687	GPR157	ENSG00000180758
HGNC:4795	H6PD	ENSG00000049239
HGNC:30628	SPSB1	ENSG00000171621
HGNC:29681	SLC25A33	ENSG00000171612
HGNC:33719	TMEM201	ENSG00000188807
HGNC:8977	PIK3CD	ENSG00000171608
HGNC:32346	PIK3CD-AS1	ENSG00000179840
HGNC:17447	CLSTN1	ENSG00000171603
